scenario,budget,rho_min,rho_max,risk_min
20251125_164202_Town03_Roundabout,10.0,60.30263065562655,85089.52395743619,0.003
20251125_164202_Town03_Roundabout,15.0,66.4139816307765,57718.80071470702,0.001
Town01_T-Intersection,5.0,57.108494032706446,98898.45792142984,0.001
Town01_T-Intersection,10.0,48.76503863128657,98848.8350138824,0.002
Town01_T-Intersection,15.0,38.438944538886574,98861.04376833403,0.001
Town01_T-Intersection,20.0,27.235502580732774,98898.45792142984,0.002
Town03_Roundabout,5.0,81.15940702173565,98791.492022866,0.001
Town03_Roundabout,10.0,38.08943809192744,98794.79995062457,0.001
Town03_Roundabout,15.0,31.876681175782682,98793.71451928718,0.001
Town03_Roundabout,20.0,18.011014553923047,96179.76687829832,0.001
Town05_Highway1,5.0,169.16321274761222,98358.05142501286,0.001
Town05_Highway1,10.0,47.83333123075841,98303.26232998374,0.001
Town05_Highway1,15.0,44.04840728215017,98329.07762661624,0.001
Town05_Highway1,20.0,44.18173665192304,98358.0507330823,0.001
Town05_Highway2,5.0,133.9445523526002,97974.15301271006,0.004
Town05_Highway2,10.0,124.97480000453878,98199.99992437908,0.003
Town05_Highway2,15.0,63.10929306393173,98338.73608961247,0.001
Town05_Highway2,20.0,67.2476014928129,98271.65227495882,0.005
Town05_Highway3,5.0,296.77102057895553,98181.16480497617,0.007
Town05_Highway3,10.0,165.21416914192983,98181.16480497617,0.007
Town05_Highway3,15.0,120.44813353711062,98181.16480497617,0.007
Town05_Highway3,20.0,90.8789625480889,98181.16480497617,0.007
Town05_Multiple_Intersections,5.0,77.58065206496774,98794.62703413091,0.002
Town05_Multiple_Intersections,10.0,76.61597366867113,98791.1198320534,0.003
Town05_Multiple_Intersections,15.0,59.783165629957786,93773.42842887287,0.006
Town05_Multiple_Intersections,20.0,51.145011664386004,98799.99980222428,0.003
