graph_id,order,node_id
Town01_T-Intersection,0,v_0_0
Town01_T-Intersection,1,v_1_5
Town01_T-Intersection,2,v_2_5
Town01_T-Intersection,3,v_3_6
Town01_T-Intersection,4,v_4_6
Town01_T-Intersection,5,v_5_6
Town01_T-Intersection,6,v_6_6
Town01_T-Intersection,7,v_7_6
Town01_T-Intersection,8,v_8_6
Town01_T-Intersection,9,v_9_6
Town01_T-Intersection,10,v_10_6
Town01_T-Intersection,11,v_11_6
Town01_T-Intersection,12,v_12_6
Town01_T-Intersection,13,v_13_6
Town01_T-Intersection,14,v_14_6
Town01_T-Intersection,15,v_15_6
Town01_T-Intersection,16,v_16_6
Town01_T-Intersection,17,v_17_6
Town01_T-Intersection,18,v_18_5
Town01_T-Intersection,19,v_19_5
Town01_T-Intersection,20,v_20_5
Town01_T-Intersection,21,v_21_1
