graph_id,order,node_id
Town05_Highway3,0,v_0_0
Town05_Highway3,1,v_1_1
Town05_Highway3,2,v_2_1
Town05_Highway3,3,v_3_1
Town05_Highway3,4,v_4_2
Town05_Highway3,5,v_5_2
Town05_Highway3,6,v_6_2
Town05_Highway3,7,v_7_2
Town05_Highway3,8,v_8_2
Town05_Highway3,9,v_9_2
Town05_Highway3,10,v_10_2
Town05_Highway3,11,v_11_2
Town05_Highway3,12,v_12_2
Town05_Highway3,13,v_13_2
Town05_Highway3,14,v_14_2
Town05_Highway3,15,v_15_2
Town05_Highway3,16,v_16_2
Town05_Highway3,17,v_17_2
Town05_Highway3,18,v_18_2
Town05_Highway3,19,v_19_2
Town05_Highway3,20,v_20_2
Town05_Highway3,21,v_21_2
Town05_Highway3,22,v_22_2
Town05_Highway3,23,v_23_2
Town05_Highway3,24,v_24_2
Town05_Highway3,25,v_25_2
Town05_Highway3,26,v_26_2
Town05_Highway3,27,v_27_2
Town05_Highway3,28,v_28_2
Town05_Highway3,29,v_29_2
Town05_Highway3,30,v_30_2
Town05_Highway3,31,v_31_2
Town05_Highway3,32,v_32_2
Town05_Highway3,33,v_33_2
Town05_Highway3,34,v_34_2
Town05_Highway3,35,v_35_2
Town05_Highway3,36,v_36_2
Town05_Highway3,37,v_37_2
Town05_Highway3,38,v_38_2
Town05_Highway3,39,v_39_2
Town05_Highway3,40,v_40_2
Town05_Highway3,41,v_41_2
Town05_Highway3,42,v_42_2
Town05_Highway3,43,v_43_2
Town05_Highway3,44,v_44_2
Town05_Highway3,45,v_45_2
Town05_Highway3,46,v_46_2
Town05_Highway3,47,v_47_2
Town05_Highway3,48,v_48_1
