graph_id,order,node_id
Town05_Highway1,0,v_0_0
Town05_Highway1,1,v_1_1
Town05_Highway1,2,v_2_2
Town05_Highway1,3,v_3_2
Town05_Highway1,4,v_4_2
Town05_Highway1,5,v_5_2
Town05_Highway1,6,v_6_2
Town05_Highway1,7,v_7_2
Town05_Highway1,8,v_8_2
Town05_Highway1,9,v_9_2
Town05_Highway1,10,v_10_2
Town05_Highway1,11,v_11_2
Town05_Highway1,12,v_12_2
Town05_Highway1,13,v_13_2
Town05_Highway1,14,v_14_2
Town05_Highway1,15,v_15_2
Town05_Highway1,16,v_16_2
Town05_Highway1,17,v_17_2
Town05_Highway1,18,v_18_2
Town05_Highway1,19,v_19_1
