scenario,budget,risk_label,rho_min,rho_max,risk_min
Town01_T-Intersection,10.0,high,180.17318188181451,1256.2847618574392,0.1961204282315024
Town01_T-Intersection,10.0,low,215.89211067327375,98873.84344009135,0.003
Town01_T-Intersection,10.0,medium,172.96914852446753,98808.8491308363,0.003
Town01_T-Intersection,10.0,very,169.75390047771933,861.377776807631,0.3313803513678677
Town01_T-Intersection,15.0,high,121.66348859862507,98898.45792142984,0.003
Town01_T-Intersection,15.0,low,163.44054165949058,98898.45792142984,0.003
Town01_T-Intersection,15.0,medium,122.86217120298124,98881.39169242009,0.003
Town01_T-Intersection,15.0,very,123.89489719413896,716.7062762892466,0.4135585382657615
Town01_T-Intersection,20.0,high,120.31501593506708,98799.99999603727,0.004
Town01_T-Intersection,20.0,low,170.72925836682532,98898.45792142984,0.003
Town01_T-Intersection,20.0,medium,107.79184584312235,98881.39169242009,0.003
Town01_T-Intersection,20.0,very,97.39514876634041,1040.5786385689835,0.2848415200809915
Town01_T-Intersection,25.0,high,122.38093272711218,2805.0686944520135,0.1057529092474548
Town01_T-Intersection,25.0,low,153.04446531441178,98898.45792142984,0.003
Town01_T-Intersection,25.0,medium,101.61664687353704,98800.00039126597,0.003
Town01_T-Intersection,25.0,very,105.34532957316121,2036.6524904943117,0.2180047920011907
Town03_Roundabout,10.0,high,135.70722252345618,2779.150673817092,0.1421926712359162
Town03_Roundabout,10.0,low,159.74047845083436,98791.61927914764,0.003
Town03_Roundabout,10.0,medium,141.068292781332,98791.492022866,0.003
Town03_Roundabout,10.0,very,131.28474750232766,2199.6720164780872,0.1299925325829317
Town03_Roundabout,15.0,high,93.36237810010826,88525.8001416452,0.004
Town03_Roundabout,15.0,low,155.28837555256763,98791.61927914764,0.003
Town03_Roundabout,15.0,medium,112.60833733577702,98791.61927914764,0.003
Town03_Roundabout,15.0,very,110.39743426657056,599.2840257030697,0.4406520351525096
Town03_Roundabout,20.0,high,108.01245756104,1577.345584135787,0.1562118046545425
Town03_Roundabout,20.0,low,162.4662168197478,98793.71451928718,0.003
Town03_Roundabout,20.0,medium,109.97366382710237,98791.61927914764,0.003
Town03_Roundabout,20.0,very,94.50261628966331,1189.0403656177662,0.2492551848015829
Town03_Roundabout,25.0,high,101.35549424864676,85101.0667661304,0.003
Town03_Roundabout,25.0,low,148.068906315275,98793.71451928718,0.003
Town03_Roundabout,25.0,medium,117.43258671972401,98774.57773465861,0.003
Town03_Roundabout,25.0,very,102.21409615732924,604.4515403152326,0.4902357152559121
Town05_Highway1,10.0,high,180.52175029687282,90923.19514680402,0.003
Town05_Highway1,10.0,low,178.66590429069433,98358.05187453913,0.003
Town05_Highway1,10.0,medium,189.0557758637791,98358.05128991991,0.003
Town05_Highway1,10.0,very,173.26953429480793,717.2878579732514,0.4113748042982356
Town05_Highway1,15.0,high,124.58131016494139,2332.0723808039293,0.1213865244351287
Town05_Highway1,15.0,low,153.8250487685815,98358.05170489944,0.003
Town05_Highway1,15.0,medium,128.7273033190523,98358.05170489944,0.003
Town05_Highway1,15.0,very,120.8955865180182,933.3727635497586,0.3139116808656709
Town05_Highway1,20.0,high,103.94947179526962,2575.390238710487,0.1099181618311506
Town05_Highway1,20.0,low,167.3253316150544,98358.05187453913,0.003
Town05_Highway1,20.0,medium,135.2147450711044,98358.05012484743,0.003
Town05_Highway1,20.0,very,115.5355365459639,1074.3395788447901,0.2746563191801277
Town05_Highway1,25.0,high,112.04071834753215,98358.05012484743,0.003
Town05_Highway1,25.0,low,157.58036634735095,98358.05170489944,0.003
Town05_Highway1,25.0,medium,121.34575390104517,97665.53769338036,0.003
Town05_Highway1,25.0,very,124.39267472204564,909.696519588382,0.3243654866444397
Town05_Highway2,10.0,high,246.07002661541569,1001.936517121858,0.2940306044732246
Town05_Highway2,10.0,low,255.24342432992307,98358.05130381072,0.003
Town05_Highway2,10.0,medium,249.066545230472,98358.05068161513,0.003
Town05_Highway2,10.0,very,247.7392402425137,458.26318694971354,0.6536644920502105
Town05_Highway2,15.0,high,162.82061486153034,975.6983075192688,0.3019375946673582
Town05_Highway2,15.0,low,203.60554296101964,98358.05143143715,0.003
Town05_Highway2,15.0,medium,167.07521357960297,98358.0511373884,0.003
Town05_Highway2,15.0,very,168.8695219866317,594.605900176877,0.704542000487988
Town05_Highway2,20.0,high,128.83171315742214,1386.4256144816702,0.2236449146217856
Town05_Highway2,20.0,low,169.88035130260462,98358.05142501286,0.003
Town05_Highway2,20.0,medium,164.91721891174504,98329.07762661624,0.003
Town05_Highway2,20.0,very,123.20343916883428,1077.3338444562705,0.2531894703243809
Town05_Highway2,25.0,high,130.21863461045336,98358.05170489944,0.003
Town05_Highway2,25.0,low,193.11524394266496,98358.05126065602,0.003
