graph_id,segment_index,start_node,end_node,speed,risk,cost,utility
Town01_T-Intersection,0,v_0_0,v_1_2,30,0.49650774324566416,21.331841809013575,78.66815819098642
Town01_T-Intersection,1,v_1_2,v_2_4,30,0.001,21.233611982398692,78.76638801760132
Town01_T-Intersection,2,v_2_4,v_3_6,30,0.001,21.2336193775098,78.7663806224902
Town01_T-Intersection,3,v_3_6,v_4_6,25,0.3132568850295104,1.4400000047090262,98.55999999529098
Town01_T-Intersection,4,v_4_6,v_5_6,30,0.5722058368726691,1.2000000039287362,98.79999999607126
Town01_T-Intersection,5,v_5_6,v_6_6,30,0.001,1.2000000040738361,98.79999999592616
Town01_T-Intersection,6,v_6_6,v_7_6,10,0.520223290201145,3.6000000117725293,96.39999998822748
Town01_T-Intersection,7,v_7_6,v_8_6,30,0.001,1.2000000039241852,98.79999999607581
Town01_T-Intersection,8,v_8_6,v_9_6,25,1.568506788724137,1.4400000048886032,98.5599999951114
Town01_T-Intersection,9,v_9_6,v_10_6,25,0.8084970688473878,1.4400000047090116,98.559999995291
Town01_T-Intersection,10,v_10_6,v_11_6,5,0.2536354667508035,7.2000000235450585,92.79999997645494
Town01_T-Intersection,11,v_11_6,v_12_6,20,0.9198185884187423,1.8000000058862777,98.19999999411372
Town01_T-Intersection,12,v_12_6,v_13_6,30,0.9843909466976141,1.173452599642777,98.82654740035723
Town01_T-Intersection,13,v_13_6,v_14_6,30,0.001,0.9311736321435241,99.06882636785647
Town01_T-Intersection,14,v_14_6,v_15_6,15,1.1997405463618098,2.502397381906762,97.49760261809324
Town01_T-Intersection,15,v_15_6,v_16_6,25,0.537490432068932,1.4400002628832749,98.55999973711673
Town01_T-Intersection,16,v_16_6,v_17_6,20,0.8274935163901862,1.8000003286402664,98.19999967135973
Town01_T-Intersection,17,v_17_6,v_18_6,30,0.44403382725631,1.1999983880391596,98.80000161196084
Town01_T-Intersection,18,v_18_6,v_19_6,30,0.45650900856145515,1.20000021686339,98.79999978313661
Town01_T-Intersection,19,v_19_6,v_20_3,30,0.001,31.275008072089932,68.72499192791007
Town01_T-Intersection,20,v_20_3,v_21_1,30,0.001,21.275003780447637,78.72499621955237
